
 Real time propagation step:                1
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
 Real time propagation step:               24
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.174675945893E-14 -0.13660356E+01
      0.132028749046E-16 -0.55697766E+00
      0.231476299362E-16  0.79482304E+00
      0.129688643991E-14 -0.57476595E+00
      0.171588812117E-14  0.44059056E+00
      0.652288053917E-15  0.42078099E+00
      0.309684323961E-14 -0.20812721E+01

 Real time propagation step:               25
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.202724976081E-14 -0.13823724E+01
      0.298419488491E-16 -0.19694398E+01
      0.218476375015E-16  0.12053569E+01
      0.561502553729E-15  0.13308203E+01
      0.171666994697E-14  0.45902170E+00
      0.652273636919E-15  0.43831079E+00
      0.230932903759E-14  0.29959279E+01

 Real time propagation step:               26
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.233753799166E-14 -0.13547538E+01
      0.134934144672E-15 -0.21239920E+01
      0.290619492881E-16  0.16079737E+01
      0.482289628964E-14  0.18764474E+01
      0.171749879258E-14  0.47744428E+00
      0.652258509408E-15  0.45584105E+00
      0.895205542042E-14  0.23995959E+01

 Real time propagation step:               27
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.247720013877E-14 -0.13173232E+01
      0.244187599522E-15 -0.20691648E+01
      0.404477384269E-16  0.18243387E+01
      0.102777393907E-13  0.19647605E+01
      0.171837509020E-14  0.49585568E+00
      0.652242520304E-15  0.47337137E+00
      0.172633046632E-13  0.22737444E+01

 Real time propagation step:               28
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.250042089040E-14 -0.13170170E+01
      0.251301924666E-15 -0.20600684E+01
      0.458055525350E-16  0.18723680E+01
      0.106319673463E-13  0.19738311E+01
      0.171929932259E-14  0.51425347E+00
      0.652225422956E-15  0.49090155E+00
      0.177420752032E-13  0.22752909E+01

 Real time propagation step:               29
  Projection on the MO number 1 from the reference file LR/LR-xasat2_1s_singlet_idx2-1.wfn
