
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.100000000000E+01 -0.29804123E+01
      0.145467398478E-19  0.60553614E+00
      0.146072001594E-19  0.34580604E+00
      0.116728570738E-15  0.26245358E+01
      0.116696498766E-15 -0.51705662E+00
      0.391507807902E-20  0.26048853E+00

 Real time propagation step:               29
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.187706765365E-23  0.34342904E-01
      0.100000000000E+01 -0.26380574E+01
      0.166067676544E-19  0.81508890E+00
      0.153093026907E-19  0.54717515E+00
      0.845646099946E-16  0.31395865E+01
      0.845413976660E-16 -0.20059986E-02
      0.389919247702E-20  0.47515900E+00

 Real time propagation step:               30
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.220874283537E-23  0.48761256E+00
      0.100000000000E+01 -0.22957032E+01
      0.180080942583E-19  0.10242844E+01
      0.152469107299E-19  0.74980752E+00
      0.762205862347E-16 -0.23523981E+01
      0.761996745365E-16  0.78919446E+00
      0.369013442248E-20  0.69324303E+00

 Real time propagation step:               31
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.247601822610E-23  0.94521997E+00
      0.100000000000E+01 -0.19533489E+01
      0.186276490146E-19  0.12339669E+01
      0.144312438410E-19  0.95479795E+00
      0.124624106847E-15 -0.16645534E+01
      0.124589877189E-15  0.14770390E+01
      0.331383322830E-20  0.91704068E+00

 Real time propagation step:               32
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.265227701070E-23  0.14075820E+01
      0.100000000000E+01 -0.16109942E+01
      0.184149266217E-19  0.14449578E+01
      0.129508257061E-19  0.11635725E+01
      0.187252531513E-15 -0.12341990E+01
      0.187201062122E-15  0.19073934E+01
