
 Real time propagation step:                1
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.875434406530E-16 -0.10606793E+01
      0.875248825915E-16  0.20808824E+01
      0.300839225563E-18  0.20774705E+01

 Real time propagation step:               30
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.748657127186E-22  0.64136771E+00
      0.154273070124E-19  0.73987557E+00
      0.264133139538E-17  0.25183221E+01
      0.100000000000E+01  0.64237751E+00
      0.412358973579E-17 -0.10547861E+01
      0.412367385969E-17  0.20866570E+01
      0.322372225781E-18  0.20949931E+01

 Real time propagation step:               31
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.806789081213E-22  0.56936450E+00
      0.146110906737E-19  0.89783742E+00
      0.278068221529E-17  0.25487647E+01
      0.100000000000E+01  0.66378876E+00
      0.299487142270E-16  0.21238252E+01
      0.299372239307E-16 -0.10177075E+01
      0.344158497870E-18  0.21125909E+01

 Real time propagation step:               32
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.938015398318E-22  0.55386545E+00
      0.131220599486E-19  0.10519749E+01
      0.292022205832E-17  0.25790937E+01
      0.100000000000E+01  0.68520046E+00
      0.106106167661E-15  0.21384593E+01
      0.106070736090E-15 -0.10030998E+01
      0.366091462030E-18  0.21302688E+01

 Real time propagation step:               33
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.107859239138E-21  0.59178697E+00
      0.111178107965E-19  0.12001273E+01
      0.305969850927E-17  0.26093074E+01
      0.100000000000E+01  0.70661296E+00
      0.111826095962E-15  0.21553180E+01
      0.111788792118E-15 -0.98624023E+00
      0.388057269107E-18  0.21480282E+01

 Real time propagation step:               34
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.117611523721E-21  0.66224182E+00
      0.880759110918E-20  0.13388259E+01
      0.319885026883E-17  0.26394031E+01
      0.100000000000E+01  0.72802630E+00
      0.375450296934E-16  0.21732941E+01
      0.375308361497E-16 -0.96823603E+00
      0.409938519629E-18  0.21658752E+01

 Real time propagation step:               35
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
