#      omega [at.u.] real pol. elem. 1 1 imag pol. elem. 1 1
    -0.68772301E+001    -0.49105270E+000     0.38402333E-003
    -0.68696309E+001    -0.49132418E+000     0.38706365E-003
    -0.68620318E+001    -0.49160055E+000     0.39182692E-003
    -0.68544326E+001    -0.49188249E+000     0.39525591E-003
    -0.68468335E+001    -0.49216374E+000     0.39725152E-003
    -0.68392343E+001    -0.49244944E+000     0.40409424E-003
    -0.68316352E+001    -0.49274195E+000     0.40787938E-003
    -0.68240360E+001    -0.49303258E+000     0.41104906E-003
    -0.68164369E+001    -0.49332917E+000     0.41723534E-003
    -0.68088377E+001    -0.49363055E+000     0.42186594E-003
    -0.68012386E+001    -0.49393330E+000     0.42411136E-003
    -0.67936394E+001    -0.49423948E+000     0.42928561E-003
    -0.67860403E+001    -0.49455224E+000     0.43134802E-003
    -0.67784411E+001    -0.49486287E+000     0.43107581E-003
    -0.67708420E+001    -0.49517720E+000     0.43612442E-003
    -0.67632428E+001    -0.49549572E+000     0.43868107E-003
    -0.67556437E+001    -0.49581622E+000     0.44108897E-003
    -0.67480445E+001    -0.49613968E+000     0.44782964E-003
    -0.67404454E+001    -0.49647070E+000     0.45362072E-003
    -0.67328462E+001    -0.49680311E+000     0.45546182E-003
    -0.67252471E+001    -0.49713845E+000     0.46257472E-003
    -0.67176479E+001    -0.49748077E+000     0.46568507E-003
    -0.67100488E+001    -0.49782342E+000     0.46631798E-003
    -0.67024496E+001    -0.49816758E+000     0.47014497E-003
    -0.66948505E+001    -0.49851902E+000     0.47444387E-003
    -0.66872513E+001    -0.49887264E+000     0.47424629E-003
    -0.66796522E+001    -0.49922571E+000     0.47940487E-003
    -0.66720530E+001    -0.49958770E+000     0.48408651E-003
    -0.66644539E+001    -0.49994990E+000     0.48484752E-003
    -0.66568547E+001    -0.50031362E+000     0.48930821E-003
    -0.66492556E+001    -0.50068467E+000     0.49553288E-003
    -0.66416564E+001    -0.50105983E+000     0.49697124E-003
    -0.66340573E+001    -0.50143421E+000     0.50111398E-003
    -0.66264581E+001    -0.50181861E+000     0.50845499E-003
    -0.66188590E+001    -0.50220589E+000     0.50955697E-003
    -0.66112598E+001    -0.50259356E+000     0.51203246E-003
    -0.66036607E+001    -0.50298698E+000     0.51585540E-003
    -0.65960615E+001    -0.50338444E+000     0.51628005E-003
    -0.65884624E+001    -0.50377968E+000     0.51695868E-003
    -0.65808632E+001    -0.50418152E+000     0.52364837E-003
    -0.65732641E+001    -0.50458979E+000     0.52574120E-003
    -0.65656649E+001    -0.50499804E+000     0.52928525E-003
    -0.65580658E+001    -0.50541311E+000     0.53564690E-003
    -0.65504666E+001    -0.50583443E+000     0.53935470E-003
    -0.65428675E+001    -0.50625629E+000     0.54037045E-003
    -0.65352683E+001    -0.50668234E+000     0.54592259E-003
    -0.65276692E+001    -0.50711568E+000     0.54774319E-003
    -0.65200700E+001    -0.50754756E+000     0.54873205E-003
    -0.65124709E+001    -0.50798581E+000     0.55348096E-003
    -0.65048717E+001    -0.50842968E+000     0.55582566E-003
    -0.64972726E+001    -0.50887521E+000     0.55643548E-003
    -0.64896734E+001    -0.50932339E+000     0.56077430E-003
    -0.64820743E+001    -0.50977926E+000     0.56350919E-003
    -0.64744751E+001    -0.51023552E+000     0.56451709E-003
    -0.64668760E+001    -0.51069724E+000     0.57119749E-003
    -0.64592768E+001    -0.51116553E+000     0.57481505E-003
    -0.64516777E+001    -0.51163704E+000     0.57725326E-003
    -0.64440785E+001    -0.51211270E+000     0.58213620E-003
    -0.64364794E+001    -0.51259682E+000     0.58539127E-003
    -0.64288802E+001    -0.51308219E+000     0.58377325E-003
    -0.64212811E+001    -0.51356933E+000     0.58694447E-003
    -0.64136820E+001    -0.51406437E+000     0.58792368E-003
    -0.64060828E+001    -0.51455991E+000     0.58849325E-003
    -0.63984837E+001    -0.51505887E+000     0.59283155E-003
    -0.63908845E+001    -0.51556765E+000     0.59769663E-003
    -0.63832854E+001    -0.51608026E+000     0.59815884E-003
    -0.63756862E+001    -0.51659432E+000     0.60262420E-003
    -0.63680871E+001    -0.51712031E+000     0.60700726E-003
    -0.63604879E+001    -0.51764716E+000     0.60703603E-003
    -0.63528888E+001    -0.51817708E+000     0.60964748E-003
