#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.10633492E+001     0.28935204E+002    -0.43364029E+000     0.29286038E+001
     0.10709446E+001     0.29141884E+002     0.21900500E+001     0.14689037E+001
     0.10785399E+001     0.29348564E+002     0.43165118E+001     0.12127552E+001
     0.10861353E+001     0.29555244E+002     0.64346028E+001     0.13472847E+001
     0.10937306E+001     0.29761924E+002     0.89209332E+001     0.20680726E+001
     0.11013260E+001     0.29968604E+002     0.10198219E+002     0.38551291E+001
     0.11089213E+001     0.30175284E+002     0.13417147E+002     0.35706573E+001
     0.11165167E+001     0.30381964E+002     0.19779438E+002     0.69477568E+001
     0.11241120E+001     0.30588644E+002     0.25326052E+002     0.25256268E+002
     0.11317074E+001     0.30795324E+002    -0.63431144E+001     0.21629288E+002
     0.11393027E+001     0.31002004E+002     0.22767969E+001     0.72578916E+001
     0.11468981E+001     0.31208684E+002     0.11281440E+002     0.55315271E+001
     0.11544934E+001     0.31415364E+002     0.21104983E+002     0.74564970E+001
     0.11620888E+001     0.31622044E+002     0.36273218E+002     0.15425553E+002
     0.11696841E+001     0.31828724E+002     0.60542689E+002     0.54208340E+002
     0.11772795E+001     0.32035404E+002    -0.44368018E+002     0.11111135E+003
     0.11848748E+001     0.32242084E+002    -0.50136850E+002     0.28984688E+002
     0.11924702E+001     0.32448764E+002    -0.29962173E+002     0.16436730E+002
     0.12000655E+001     0.32655444E+002    -0.25462901E+002     0.12815095E+002
     0.12076609E+001     0.32862124E+002    -0.18710805E+002     0.15246803E+002
     0.12152562E+001     0.33068804E+002    -0.26740283E+002     0.10203000E+002
     0.12228516E+001     0.33275484E+002    -0.20949244E+002     0.39984615E+001
     0.12304470E+001     0.33482164E+002    -0.16639323E+002     0.24920789E+001
     0.12380423E+001     0.33688844E+002    -0.13474268E+002     0.19552953E+001
     0.12456377E+001     0.33895524E+002    -0.10741959E+002     0.18635794E+001
     0.12532330E+001     0.34102204E+002    -0.79102323E+001     0.24636147E+001
     0.12608284E+001     0.34308884E+002    -0.62156850E+001     0.57088617E+001
