#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.70900062E+001    -0.48454545E-004     0.27051410E-007    -0.39243489E-008    -0.19387964E-009     0.17470944E-008     0.33125246E-008
    -0.70824071E+001    -0.48474345E-004     0.27445648E-007    -0.24047011E-008     0.38749718E-010    -0.47148216E-009     0.71854377E-008
    -0.70748079E+001    -0.48494447E-004     0.28075283E-007    -0.31191322E-008     0.21699081E-009    -0.15603017E-008     0.57704012E-008
    -0.70672088E+001    -0.48514933E-004     0.28345273E-007    -0.30281513E-008    -0.55778000E-010    -0.30767783E-008     0.61925240E-008
    -0.70596096E+001    -0.48535296E-004     0.28589805E-007    -0.28319986E-008    -0.28304120E-008    -0.43836515E-008    -0.58195474E-009
    -0.70520105E+001    -0.48555702E-004     0.29121012E-007    -0.32284017E-009    -0.98015464E-009     0.34224552E-008    -0.38100564E-009
    -0.70444113E+001    -0.48576800E-004     0.29553450E-007    -0.18451503E-008    -0.88347253E-009     0.64982168E-008     0.12201157E-007
    -0.70368122E+001    -0.48597682E-004     0.29723097E-007    -0.93073325E-009    -0.93486046E-009    -0.50733108E-008     0.15901456E-007
    -0.70292130E+001    -0.48618800E-004     0.30420720E-007    -0.17609689E-008    -0.16748864E-008    -0.11681182E-007     0.12443308E-007
    -0.70216139E+001    -0.48640633E-004     0.30900234E-007     0.76165766E-009    -0.28377240E-008    -0.13923252E-007     0.19417411E-008
    -0.70140147E+001    -0.48662441E-004     0.31208127E-007     0.24634717E-008     0.39622840E-009    -0.59607227E-008    -0.34416039E-008
    -0.70064156E+001    -0.48684420E-004     0.31754061E-007    -0.62002537E-009     0.20859215E-008    -0.36925540E-008     0.84856753E-008
    -0.69988164E+001    -0.48707089E-004     0.32418422E-007    -0.14462625E-008     0.19652067E-008    -0.12833364E-007     0.43589539E-008
    -0.69912173E+001    -0.48729798E-004     0.32555573E-007    -0.36734942E-008     0.17802147E-009    -0.12416421E-007    -0.13687802E-008
    -0.69836181E+001    -0.48752542E-004     0.33163418E-007    -0.22566965E-008    -0.15827490E-008    -0.90263607E-008    -0.42707257E-008
    -0.69760190E+001    -0.48776171E-004     0.33695896E-007    -0.13414829E-008    -0.23313803E-008    -0.87955238E-008    -0.67992796E-009
